"","PID","content","created_at","nick_name","authentication","brief_introduction","city","tweets_num","vip_level","Vtag","Account","fans_num","follows_num","gender","labels","province","sentiment","sex_orientation","user_id","crawl_time_x","like_num","repost_num","comment_num","origin_weibo","geo_info","birthday"
"17","w_89817","12月10日 #中公早报# 中公早报，星期四，农历十月廿六 1.电子版出生证明来了！发证前刷脸鉴别父母身份防拐卖非法领养。 2.成都：三日累计核酸采样73.9万人，目前暂无新增病例。 3.国家统计局：2020年11月份CPI同比下降，11年来首次，PPI同比降幅收窄。 4.社科院报告：中国国民在工作日平均每天用于休闲的时间为3.6小时。 5.央行：11月末M2余额217.2万亿元，同比增长10.7%。 6.组织运送外籍妇女偷越国境！云南警方历时一年打掉特大偷渡团伙抓获194人。 7.北京暂停小客车新指标申请，27日起暂停旧车更新申请。 8.武汉建成国内首个自动驾驶主题景区“龙灵山生态公园”。 9.经济日报：“丁真”作为在先姓名权，由其本人享有勿随便抢注。 10.民航局再发两份熔断指令，俄航一航班已连续熔断5周。 11.欧英就北爱尔兰问题达成协议，英国将撤回有争议条款。 12.无视特朗普否决威胁，美众议院通过《国防授权法案》。",2020-12-10 08:37:00,"甘肃中公事业部","北京中公教育科技股份有限公司甘肃分公司","中公教育甘肃事业部官方微博，长期发布事业单位类考试公告及备考信息，欢迎关注！",NA,635,"未开通","V","org",4761,395,"女","兰州生活,事业单位招考,事业单位考试","甘肃",NA,NA,"2d5ba09bd571a22d",1609094171,0,0,0,NA,NA,NA
"18","w_45747","美国专家鲁比尼，指称新冠毒源头，为北卡罗莱那州，所制造生物武器。鲁比尼基因改造。BSL-3实验室，2015年人工改造，制造新冠状病毒，由巴里克负责。由影子政府负责，从北卡播到中国、意大利和美国。发推质问特朗普：为何不告知美国人，病毒是美国制造的？而且是生物武器。 转发理由:转发微博",2020-04-20 16:26:00,"三级屠夫",NA,"三级就是三级片的意思，我是人大带婊。","三明",37090,"6级",NA,NA,3958,1300,"男",NA,"福建",NA,NA,"0cf91f610067af7a",1588085348,0,0,0,"IEcMruQye",NA,NA
"19","w_53301","耿爽说：“至于所谓的惩罚，以及为此负责，我记得我们以前在记者会上多次说过，这种说法并没有任何法律上的依据，在国际上也没有这方面先例，我不记得以前发生的H1N1流感、埃博拉、寨卡这些重大疫情，之后有谁受到惩罚了？有谁为此担责了？”/可以这么说吗？！ 特朗普放言用各种手段惩罚中国 外交部回应 转发理由:感觉像是默认了什么。",2020-04-30 19:10:00,"有素质的家庭妇女",NA,"冇得。","厦门",656,"1级",NA,NA,1622,1147,"女","新闻热点,健康养生","福建",NA,NA,"1ed0b92184db5e53",1590876628,0,0,0,"IFK7ObAdi",NA,"1976-05-04"
"20","w_85501","特朗普确诊后，发了多条相关微博，看到一些人在攻击讽刺我「不道德」。  真是好奇，这些人，会拿「道德」去评价特朗普吗？  作为美国总统，他每天都在撒谎，自从疫情在美国传播开后，这种情况更为严重，这些人会看到特朗普的不道德吗？  他不断使用「中国病毒」和「武汉病毒」这些说法，直到前不久联合...全文转发理由:[good][good]",2020-10-04 10:28:00,"行走的荤油",NA,"自说自话，自娱自乐。","沈阳",7173,"1级",NA,NA,778,700,"男","80后","辽宁",NA,NA,"a2f251d961560f4a",1608973365,1,0,0,"JnB1gmzLX",NA,"0001-00-00"
"21","w_7654","特朗普也是阴招损招玩得飞起。现在美国国内感染肺炎的人数不断攀升，可以进行检测的人数也极其有限。这种时候他又开始玩起种族仇恨这张牌，企图转移自己国内医疗体制脆弱不堪的现实，刻意用""Chinese Virus""来指代新冠病毒COVID-19，试图引导群众不满到中国身上。双标这一套我们永远没有西方玩的溜，他们是双标始祖。转发理由://@tlrunaway:快了，还在潜伏期[嘻嘻][嘻嘻]//@淡村路尾美发店店长:他什么时候早点死",2020-03-18 03:27:00,"我要瘦成一道闪电的熊爷",NA,NA,"其他",8932,"未开通",NA,NA,126,113,"女",NA,"香港",NA,NA,"943a16e5548e6e85",1587831242,0,0,0,"Iz2LHesJ3",NA,NA
"22","w_72012","【#特朗普称99%新冠病例完全无害# 再次甩锅中国】当地时间4日，特朗普在白宫发表独立日演讲。他坚称，尽管一些州病例出现了创纪录增长，但应对新冠肺炎的战略“进展顺利”。他称，美国目前已对近4000万人进行检测，“通过检测，我们发现99%的病例是完全无害的。这是其他国家无法显示的结果，因为没有哪...全文转发理由:完了 病毒已经攻击了他的脑子",2020-07-05 21:06:00,"HoUYuYAn-","钢琴8级",NA,NA,4767,"1级","V","celebrity",1689,443,"女","名人明星","山西",NA,NA,"b9b10a1a82d35035",1609056720,1,0,0,"J9O1exYr5",NA,"2000-03-09"
"23","w_18946","【站特朗普身边听他说中国，美顶级卫生专家：我总不能把他推下去……】当地时间周六下午的发布会上，特朗普再次将其抗疫不力的问题甩锅中国，声称“所有的人、我们的人才们都希望能多三四个月的额外时间”，但中国“讳莫如深”，“令人遗憾”。  对于特朗普横空提出的“三四个月额外时间”，美国顶级传染病专家安东尼·福奇与《科学》记者展开了如下对话：  问：那旅行限制呢？特朗普总统一直在说，2月2日针对中国的旅行禁令（对延缓病毒向美国传播）产生了巨大效果，他希望中国能再提早三四个月告诉我们，但他们“讳莫如深”。可这与事实不符。  答：我知道，但是你想让我做什么呢？我的意思是，直说吧，你想让我怎么做？  问：大多数人都认为你的工作很出色，你站在那儿就代表这是事实和真相，但现场出现了不正确、非事实的说法。  答：事情是这样的，在他作出这番陈述（暗示中国本可以提早三到四个月就通报发现了一种新冠状病毒）之后，我告诉相关人士，这不合适，因为再提早两三个月可能就是9月了。下次他们坐下来和他讨论该说什么时会说：顺便说一句，总统先生，这要小心，不要这么说。但我不能跳到麦克风前把他推下去。好吧，他说了这句话。那就让我们试着下次改正过来。http://t.cn/A6zkJgKn转发理由:[笑cry][笑cry][笑cry]推下去！",2020-03-24 07:21:00,"呱唧呱唧的cici",NA,"就让我做个安安静静的胖子吧。","浦东新区",898,"1级",NA,NA,114,249,"男","疯子,死胖子减肥,美食","上海",NA,NA,"9ebc3820dac12119",1590328904,0,0,0,"IzYzBvrY4",NA,"1991-04-24"
"24","w_38082","种种迹象表明，特朗普政府已经下定决心，准备在5月1日不顾一切地解除居家令，哪怕此举将造成新冠病毒“冲洗”美国（特朗普语）。在疫情没有出现拐点的情况下贸然重启经济活动，会带来什么后果呢？美国著名新冠疫情模型创始人穆雷警告，这种做法将导致新一波疫情蔓延。     如果新一波疫情再度使经济停摆，造成的损失将更加不可估量。如此瞎折腾的结果，不是中国经济超越美国，而是美国经济自动倒退到中国经济之后。兔子躺在石头上睡大觉，乌龟掉过头来往回跑，也算是一种“躺赢”版的龟兔赛跑。转发理由:这下注有点大！",2020-04-13 21:30:00,"YaungShaw",NA,NA,"深圳",1033,"未开通",NA,NA,160,66,"男","新闻趣事","广东",NA,NA,"6e7dc37aff0dd596",1590442639,0,0,0,"IDavsk5pR",NA,"01-01"
"25","w_54686","洪灝｜亚洲强国：市场运行至一个历史性转折点；中国将开始长期跑赢  🇨🇳中美股市运行至历史性转折点。在特朗普总统还在忙于对冠状病毒爆发处理不当的责任“甩锅”之际，中美市场运行到了一个历史性的转折点。标普500指数(SPX)在经历了二月以来的史诗级崩盘后，迎来了一场暴力反弹，最终周度平均指...全文转发理由://@鴻澔://@洪灝:我在20191110展望报告里，预测今年最可能的交易区间为2700-3200。报告发布的5个月以来，上证综指一直在2,650点至3,127点之间波动。预测的交易区间继续有效。交易计划应继续是：当上证接近这个交易区间的底端时，我们应该更加积极；而余则类推。",2020-05-03 12:13:00,"工薪族理财",NA,"谈谈钱 跳跳舞",NA,85,"2级",NA,NA,135,226,"男",NA,"海外",NA,NA,"755e92acd3f0c0d6",1608403840,0,0,0,"IE673FlAJ",NA,"摩羯座"
"26","w_32319","美国“罗斯福”号航空母舰舰长克罗泽被革职，就因为他写了一封信，告知舰上有一些水兵感染，如不下舰隔离，舰上可能会有人死亡。问题是他的这个预警错在哪了？克罗泽舰长不成了美国的李文亮了吗？   然而李文亮已经被平反，被宣布为烈士。克罗泽舰长却在美国疫情的危急关头，在已经有大量前车之鉴的情况下，成为最新、也是更加严重的蒙冤者，前途都被毁了。五角大楼指责克罗泽舰长表现出“在危机当中极差的判断力”，制造了“不必要的恐慌”，但在老胡看来，克罗泽舰长恰恰比五角大楼的昏官们要清醒多了。美国的航母快要变成那几艘“公主号”了，如不采取措施，舰上有人死亡将是迟早的事情。   还是特朗普总统到底有强烈的竞选意识，知道五角大楼有可能闯祸了。他在回答记者提问时表示“一点都不同意”对克罗泽舰长的处罚，但是他能纠正五角大楼的这个错误吗？他会处罚让克罗泽舰长蒙冤的五角大楼官员吗？   如果对克罗泽舰长的革职不推翻，或者恢复他的职务，但是下命令处罚他的那些五角大楼官员都没事，那么克罗泽舰长或者黯然退休，或者虽然有机会回到舰上，但不停地被穿小鞋。他会被当成危急关头的“怯阵者”“动摇军心者”，在他的环境中遭到歧视和排挤。   总之，美国至今不肯对疫情失控进行反思，而一味地将责任向外推诿，美国的政治大环境在支持、鼓励一些严重的谎言。 美国国会当初煞有介事地通过议案干预李文亮风波，他们真正该做是抨击美国的无所作为，并且好好为克罗泽舰长喊冤。转发理由:舰长是不行呀，怎么可以露怯呢！4000人么怎么样呢，再怎么也要开到中国去然后传播一下呀。啥？去不了？那去停台湾呀！保准有拥抱，感染率低，又热，说不定就好了嘛！退一万步，也开到中国了啊！死了也封烈士，一人发个锁呐徽章的那种！ //@老刀99：要看美国媒体怎么炒这个事！大概率是舰长退休回家",2020-04-04 00:06:00,"ZeRo_瀞庵",NA,"吾水既瀞，吾道既平。","徐汇区",12065,"4级",NA,NA,589,350,"男","上海生活,WOWer,爱折腾","上海",NA,NA,"caa9b137a93d8560",1590783177,0,0,0,"IBAKBtXBy",NA,"水瓶座"
"27","w_16539","【#专家称疫情去年11月或已在意大利流行# 或早于中国】近日，意大利一所知名专家接受美国媒体采访时表示，意大利可能在去年11月和12月就已经出现了高度疑似新冠病毒肺炎症状的不明原因肺炎↓↓当地医生表示曾见过这种奇怪的肺炎，在中老年人中流行↓↓新冠肺炎源头在哪？详情↓↓意大利知名专家：本国疫情或早于中国 转发理由:回复@匡_威van_s纽-百伦总_仓:文化人。真押韵//@匡_威van_s纽-百伦总_仓:冤有头，债有主，要找就找特朗普！",2020-03-22 11:30:00,"明日香icon",NA,NA,NA,5839,"未开通",NA,NA,337,658,"男",NA,"其他",NA,NA,"c4ae47932fe59aaf",1587983633,0,0,0,"IzLp1o7dw",NA,NA
"28","w_26741","#特朗普称中国对抗击新冠病毒理解深刻#[doge]特朗普同学进步非常快，今晚的新闻联播就像大型网课哈哈哈哈[允悲] 转发理由:@祖安第一上单",2020-03-28 02:27:00,"阿呆虾米妈",NA,"宅主妇、养娃、养狗、小老百姓，偶尔装逼。阿呆虾米大圆六子妈咪（按照顺序排列哒）","常州",3350,"未开通",NA,NA,276,787,"女","时尚,偏执狂,金毛控","江苏",NA,NA,"f3ec3442e42283e0",1590623340,0,0,0,"IAzCX0EWP",NA,"1987-08-29"
"29","w_68929","【特朗普：真奇怪，病毒在中国没传开[疑问]】近日，美国总统特朗普接受采访时称：“疫情在武汉暴发，传到了欧洲，传到了美国，传遍了世界，却无法传遍中国？这事可真奇怪。”在采访中，特朗普依然坚持指责中国，还把疫情对美国经济的冲击也归咎于此。截至目前，#美国新冠肺炎感染人数超185万#。 转发理由:这个脑瘫要是能懂，美国也不至于死那么多人了//@苍南派:你说这是为什么呢//@芒果宓:[思考]//@妖妖小精:[白眼]//@林熊猫:可说呢？//@回忆专用小马甲:可真奇怪呢//@花生了丁:真奇怪//@老八厂长:不会吧不会吧[吃惊]//@江宁婆婆:我们怎么做的早就告诉你们了，你们听了吗？",2020-06-05 13:10:00,"小李是个工具人",NA,"混还是营业",NA,5245,"6级",NA,NA,279,96,"男",NA,"辽宁",NA,NA,"92207e2843650dd9",1608698581,0,0,0,"J57ci3bfI",NA,"巨蟹座"
